BugID,Title,Category,Priority,Description
1,Button overlaps label,UI Bug,Medium,Button overlaps label observed in production-like testing. Issue impacts normal workflow and requires investigation.
2,Memory spike on search,Performance Issue,Low,Memory spike on search observed in production-like testing. Issue impacts normal workflow and requires investigation.
3,App crashes on login,Crash/Error,High,App crashes on login observed in production-like testing. Issue impacts normal workflow and requires investigation.
4,Privilege escalation risk,Security Vulnerability,Low,Privilege escalation risk observed in production-like testing. Issue impacts normal workflow and requires investigation.
5,Export to CSV option,Feature Request,Medium,Export to CSV option observed in production-like testing. Issue impacts normal workflow and requires investigation.
6,Incorrect totals displayed,Data Inconsistency,Low,Incorrect totals displayed observed in production-like testing. Issue impacts normal workflow and requires investigation.
7,Webhook delivery failure,Integration Failure,Critical,Webhook delivery failure observed in production-like testing. Issue impacts normal workflow and requires investigation.
8,Missing API key,Configuration Error,Critical,Missing API key observed in production-like testing. Issue impacts normal workflow and requires investigation.
9,Text truncation on mobile,UI Bug,High,Text truncation on mobile observed in production-like testing. Issue impacts normal workflow and requires investigation.
10,High CPU usage during sync,Performance Issue,Medium,High CPU usage during sync observed in production-like testing. Issue impacts normal workflow and requires investigation.
11,Unhandled timeout error,Crash/Error,Low,Unhandled timeout error observed in production-like testing. Issue impacts normal workflow and requires investigation.
12,Session token exposed,Security Vulnerability,High,Session token exposed observed in production-like testing. Issue impacts normal workflow and requires investigation.
13,Add bulk edit support,Feature Request,High,Add bulk edit support observed in production-like testing. Issue impacts normal workflow and requires investigation.
14,Incorrect totals displayed,Data Inconsistency,Critical,Incorrect totals displayed observed in production-like testing. Issue impacts normal workflow and requires investigation.
15,Third-party auth issue,Integration Failure,Medium,Third-party auth issue observed in production-like testing. Issue impacts normal workflow and requires investigation.
16,SSL certificate configuration issue,Configuration Error,Medium,SSL certificate configuration issue observed in production-like testing. Issue impacts normal workflow and requires investigation.
17,Dropdown misaligned,UI Bug,Low,Dropdown misaligned observed in production-like testing. Issue impacts normal workflow and requires investigation.
18,API response latency,Performance Issue,Low,API response latency observed in production-like testing. Issue impacts normal workflow and requires investigation.
19,App crashes on login,Crash/Error,Medium,App crashes on login observed in production-like testing. Issue impacts normal workflow and requires investigation.
20,Sensitive data in logs,Security Vulnerability,Medium,Sensitive data in logs observed in production-like testing. Issue impacts normal workflow and requires investigation.
21,Add bulk edit support,Feature Request,Low,Add bulk edit support observed in production-like testing. Issue impacts normal workflow and requires investigation.
22,Data sync discrepancy,Data Inconsistency,Medium,Data sync discrepancy observed in production-like testing. Issue impacts normal workflow and requires investigation.
23,Payment gateway timeout,Integration Failure,Low,Payment gateway timeout observed in production-like testing. Issue impacts normal workflow and requires investigation.
24,Misconfigured database endpoint,Configuration Error,Critical,Misconfigured database endpoint observed in production-like testing. Issue impacts normal workflow and requires investigation.
