id,title,description,category
427973,Show cookies button shifts,Show cookies button shifts,UI Bug
493881,weird things happen if you set a legacy color prop on the document object before the body element exists,weird things happen if you set a legacy color prop on the document object before the body element exists,UI Bug
335397,Improve jsDriver.pl timeout handling,Improve jsDriver.pl timeout handling,Performance Issue
325447,SVG text with gradient color not rendered,SVG text with gradient color not rendered,UI Bug
457310,xpcwrappedjsclass causes assertions due to exception ordering,xpcwrappedjsclass causes assertions due to exception ordering,Crash/Error
617052,Use ITaskbarList2::MarkFullscreenWindow for proper windows taskbar integration,Use ITaskbarList2::MarkFullscreenWindow for proper windows taskbar integration,Integration Failure
589140,[Firefox Menu Button]Position of the bookmark is strange.,[Firefox Menu Button]Position of the bookmark is strange.,UI Bug
810343,Downloads button paused icon is too large in large icon mode.,Downloads button paused icon is too large in large icon mode.,UI Bug
734043,Error: node.parentNode is null when I click x button of thumbnail quickly in newTab page,Error: node.parentNode is null when I click x button of thumbnail quickly in newTab page,UI Bug
375073,Minimum height of a button is larger on FF3 than FF2,Minimum height of a button is larger on FF3 than FF2,UI Bug
767697,Stop invalidating rendering observers of ancestors of SVG frames that only render by reference,Stop invalidating rendering observers of ancestors of SVG frames that only render by reference,UI Bug
450478,Bug 378991 added an unused variable __DESTDIR__,Bug 378991 added an unused variable __DESTDIR__,Configuration Error
292174,Indexer fast crashes with NPE if enclosing class definition is not available.,Indexer fast crashes with NPE if enclosing class definition is not available.,Crash/Error
350650,"js reports ""uncaught exception: unknown (can't convert to string)""","js reports ""uncaught exception: unknown (can't convert to string)""",Crash/Error
666227,Change toolbar and tab background area pick up window control color,Change toolbar and tab background area pick up window control color,UI Bug
593597,Design and implement updated CSS styling for Linux,Design and implement updated CSS styling for Linux,UI Bug
789014,[b2g-bluetooth] Broadcast bonding-related events via system message to settings app,[b2g-bluetooth] Broadcast bonding-related events via system message to settings app,Configuration Error
627475,JM: Clean up OOM handling,JM: Clean up OOM handling,Crash/Error
551387,Octoshape plugin crashes,Octoshape plugin crashes,Crash/Error
773419,Flash crashes in F_313572943______,Flash crashes in F_313572943______,Crash/Error
210789,Patch creation dialog has a confusing layout of controls,Patch creation dialog has a confusing layout of controls,UI Bug
562464,Remove perl script layout/mathml/mathml-css.pl,Remove perl script layout/mathml/mathml-css.pl,UI Bug
630777,Tab view should use the native system font (Segoe UI) instead of Tahoma on 7 and Vista,Tab view should use the native system font (Segoe UI) instead of Tahoma on 7 and Vista,UI Bug
353686,Firefox crashes when gtk_key_theme (gconf) changes,Firefox crashes when gtk_key_theme (gconf) changes,Crash/Error
568611,nsHtml5TreeBuilder.cpp:1992: warning: unused variable ‘node’,nsHtml5TreeBuilder.cpp:1992: warning: unused variable ‘node’,Configuration Error
733512,FreeType: Multiple security flaws to be fixed in v2.4.9,FreeType: Multiple security flaws to be fixed in v2.4.9,Security Vulnerability
487242,"Regression: in userChrome.css no longer possible to distinguish between unvisited tabs, visited tabs, and the selected tab","Regression: in userChrome.css no longer possible to distinguish between unvisited tabs, visited tabs, and the selected tab",UI Bug
605128,Very slow page rendering with lots of textfields: 3 minutes vs. less than 1 s in other browsers,Very slow page rendering with lots of textfields: 3 minutes vs. less than 1 s in other browsers,Performance Issue
430445,scroll position on boxes can be negative,scroll position on boxes can be negative,Data Inconsistency
635014,"Don't draw the checkerboard behind undefined content in ""sync scrolling mode""","Don't draw the checkerboard behind undefined content in ""sync scrolling mode""",Data Inconsistency
623291,Firefox 4: change/blur event are not dispatched to input upon button click,Firefox 4: change/blur event are not dispatched to input upon button click,UI Bug
234363,JAR selection dialog not using dialog font,JAR selection dialog not using dialog font,UI Bug
133867,Project wizard browse button not connected to file system contributor,Project wizard browse button not connected to file system contributor,UI Bug
485671,Remove unused and broken things in the top level of layout/html/tests/,Remove unused and broken things in the top level of layout/html/tests/,UI Bug
713203,Negative heap-unclassified after Private Browsing,Negative heap-unclassified after Private Browsing,Data Inconsistency
382542,Font entries need to depend on the style,Font entries need to depend on the style,UI Bug
465140,layout/reftests/text/zwnj-02.html fails on some machines,layout/reftests/text/zwnj-02.html fails on some machines,UI Bug
639286,Replace thick transparent border on tabs with proper CSS padding,Replace thick transparent border on tabs with proper CSS padding,UI Bug
807822,No noise added to completion request in some circumstances,No noise added to completion request in some circumstances,Feature Request
75,Null pointer exception,Null pointer exception observed in production-like testing. Issue impacts normal workflow and requires investigation.,Crash/Error
593922,"Unused variable and initializer ordering compiler warnings with wasPreloadNone, mPreloadAction","Unused variable and initializer ordering compiler warnings with wasPreloadNone, mPreloadAction",Configuration Error
457377,System-wide SOCKS proxy settings are not respected,System-wide SOCKS proxy settings are not respected,Configuration Error
